units SI
    begin 
    velocity  10. 
    time   5.0 
#Number of Pieces	Weight of each piece kg)	Total Weight (lbs)	Reference Area (m^2)		Ballistic Coeff (kg/m^2)		Velocity Increment (m/sec)	CD	CL		
	1	220.80874	220.80874	[0.467350983,2.17877009]	[101.3455899,472.4687617]	[0,100]	1	0.1		
	2	124.1698795	248.3397589	[0.318323103,1.483666889]	[83.69121155,390.0749841]	[0,100]	1	0.1		
	9	69.82585457	628.4326911	[0.216816915,1.01032571]	[69.11222183,322.0498487]	[0,100]	1	0.1		
	26	39.26596359	1020.915053	[0.147678802,0.687996778]	[57.07288875,265.8876095]	[0,100]	1	0.1		
	67	22.080874	1479.418558	[0.100587302,0.468501952]	[47.13080471,219.5194973]	[0,100]	1	0.1		
	151	12.41698795	1874.96518	[0.068512239,0.319033585]	[38.92062941,181.2375153]	[0,100]	1	0.1		
	308	6.982585457	2150.636321	[0.046665203,0.21725081]	[32.14066476,149.6315241]	[0,100]	1	0.1		
	577	3.926596359	2265.646099	[0.031784703,0.147940269]	[26.54176838,123.5372984]	[0,100]	1	0.1		
	1012	2.2080874	2234.584449	[0.021649265,0.100742194]	[21.91819846,101.9936419]	[0,100]	1	0.1		
	1675	1.241698795	2079.845481	[0.014745794,0.068601941]	[18.10005335,84.20698143]	[0,100]	1	0.1		
	2636	0.698258546	1840.609526	[0.010043687,0.046715543]	[14.94702824,69.52213481]	[0,100]	1	0.1		
	3963	0.392659636	1556.110137	[0.006840977,0.031811665]	[12.34325937,57.39817704]	[0,100]	1	0.1		
	5718	0.22080874	1262.584375	[0.004659541,0.021662641]	[10.19306644,47.38851499]	[0,100]	1	0.1	
	7942	0.124169879	986.1571827	[0.003173717,0.014751508]	[8.417436619,39.12443685]	[0,100]	1	0.1		
	10649	0.069825855	743.5755253	[0.002161689,0.010045265]	[6.951121104,32.30153043]	[0,100]	1	0.1		
	13816	0.039265964	542.498553	[0.001472374,0.006840477]	[5.740237413,26.66846994]	[0,100]	1	0.1		
	17374	0.022080874	383.6331049	[0.001002867,0.004658128]	[4.740289381,22.01775828]	[0,100]	1	0.1		
	21212	0.012416988	263.3891483	[0.000683075,0.003172024]	[3.914532066,18.17808373]	[0,100]	1	0.1		
	25176	0.006982585	175.7935715	[0.000465257,0.002160038]	[3.232621484,15.00800962]	[0,100]	1	0.1		
	29080	0.003926596	114.1854221	[0.000316897,0.001470911]	[2.669499568,12.3907644]	[0,100]	1	0.1		
	32721	0.002208087	72.25082782	[0.000215846,0.001001639]	[2.20447336,10.22994031]	[0,100]	1	0.1		
 end
