FORMAT LATLON FEET
# Time    Long    Lat     Alt
 0   -106.967861     32.973  0
 1   -106.96789  32.973  -0.00008
 2   -106.967974     32.973  -0.00032
 3   -106.968115     32.972  -0.00072
 4   -106.968313     32.972  -0.00126
 5   -106.968566     32.972  -0.00195
 6   -106.968876     32.972  -0.00278
 7   -106.969241     32.971  -0.00374
 8   -106.969661     32.971  -0.00482
 9   -106.970125     32.97   0.13302
 10  -106.970625     32.97   10.926
 11  -106.97116  32.969  39.182
 12  -106.971724     32.969  85.401
 13  -106.972314     32.968  150.1
 14  -106.972926     32.967  233.66
 15  -106.973552     32.967  336.39
 16  -106.97419  32.966  458.55
 17  -106.974834     32.965  600.36
 18  -106.975478     32.965  761.96
 19  -106.97613  32.964  941.02
 20  -106.976879     32.963  1125.04
 21  -106.977736     32.963  1312.14
 22  -106.978686     32.962  1502.35
 23  -106.979715     32.962  1695.7
 24  -106.980801     32.962  1892.2
 25  -106.981927     32.962  2091.86
 26  -106.983081     32.962  2295.74
 27  -106.984259     32.962  2503.99
 28  -106.985459     32.962  2716.6
 29  -106.986675     32.962  2933.58
 30  -106.987904     32.962  3154.9
 31  -106.989143     32.962  3380.58
 32  -106.990389     32.963  3610.6
 33  -106.991636     32.963  3844.96
 34  -106.992881     32.964  4083.65
 35  -106.994122     32.964  4326.67
 36  -106.995353     32.965  4574.01
 37  -106.996572     32.965  4825.67
 38  -106.997775     32.966  5081.64
 39  -106.998959     32.967  5341.93
 40  -107.000119     32.968  5606.52
 41  -107.001252     32.969  5875.43
 42  -107.002356     32.97   6148.63
 43  -107.003427     32.971  6426.14
 44  -107.004461     32.972  6707.95
 45  -107.005456     32.973  6994.07
 46  -107.006409     32.974  7284.49
 47  -107.007317     32.975  7579.22
 48  -107.008176     32.976  7878.26
 49  -107.008985     32.978  8181.62
 50  -107.009741     32.979  8489.3
 51  -107.010441     32.98   8801.31
 52  -107.011083     32.982  9117.66
 53  -107.011664     32.983  9438.35
 54  -107.012182     32.985  9763.39
 55  -107.012636     32.986  10092.8
 56  -107.013024     32.988  10426.57
 57  -107.013343     32.99   10764.73
 58  -107.013591     32.991  11107.28
 59  -107.013768     32.993  11454.24
 60  -107.013871     32.995  11805.62
 61  -107.013901     32.996  12161.36
 62  -107.013904     32.998  12519
 63  -107.013907     33  12877.48
 64  -107.01391  33.002  13236.9
 65  -107.013913     33.003  13597.38
 66  -107.013915     33.005  13959.03
 67  -107.013918     33.007  14321.94
 68  -107.013921     33.009  14686.22
 69  -107.013923     33.011  15051.98
 70  -107.013926     33.012  15419.3
 71  -107.013928     33.014  15788.28
 72  -107.013931     33.016  16159.02
 73  -107.013933     33.018  16531.6
 74  -107.013935     33.02   16906.12
 75  -107.013937     33.021  17282.66
 76  -107.013939     33.023  17661.32
 77  -107.013941     33.025  18042.16
 78  -107.013944     33.027  18425.29
 79  -107.013946     33.029  18810.78
 80  -107.013947     33.031  19198.72
 81  -107.013949     33.033  19589.18
 82  -107.013951     33.035  19982.25
 83  -107.013953     33.037  20378
 84  -107.013955     33.039  20776.52
 85  -107.013957     33.04   21177.87
 86  -107.013959     33.042  21582.15
 87  -107.01396  33.044  21989.43
 88  -107.013962     33.046  22399.78
 89  -107.013964     33.048  22813.28
 90  -107.013965     33.05   23230
 91  -107.013967     33.053  23650.03
 92  -107.013968     33.055  24073.45
 93  -107.01397  33.057  24503.02
 94  -107.013972     33.059  24960.91
 95  -107.013974     33.061  25451.86
 96  -107.013976     33.063  25975.54
 97  -107.013978     33.065  26531.56
 98  -107.01398  33.066  27119.34
 99  -107.013982     33.068  27735.22
 100     -107.013985     33.07   28362.55
 101     -107.013987     33.072  28999.1
 102     -107.013989     33.073  29644.82
 103     -107.013991     33.075  30299.68
 104     -107.013994     33.077  30963.65
 105     -107.013996     33.079  31636.7
 106     -107.013998     33.081  32318.82
 107     -107.014    33.083  33009.99
 108     -107.014002     33.085  33710.22
 109     -107.014004     33.087  34419.58
 110     -107.014006     33.089  35138.2
 111     -107.014008     33.091  35866.25
 112     -107.01401  33.093  36603.85
 113     -107.014012     33.095  37351.17
 114     -107.014014     33.097  38108.38
 115     -107.014015     33.099  38875.64
 116     -107.014017     33.102  39653.12
 117     -107.014019     33.104  40441
 118     -107.01402  33.106  41239.47
 119     -107.014022     33.108  42048.71
 120     -107.014023     33.111  42868.93
 121     -107.014025     33.113  43700.45
 122     -107.014026     33.115  44543.73
 123     -107.014027     33.118  45399.27
 124     -107.014029     33.12   46267.56
 125     -107.01403  33.123  47149.07
 126     -107.014031     33.125  48044.32
 127     -107.014032     33.128  48953.8
 128     -107.014033     33.13   49878.02
 129     -107.014034     33.133  50817.5
 130     -107.014035     33.136  51772.77
 131     -107.014036     33.138  52750.47
 132     -107.014037     33.141  53781.08
 133     -107.014039     33.144  54868.38
 134     -107.014041     33.146  56011.89
 135     -107.014044     33.148  57210.92
 136     -107.014047     33.15   58464.6
 137     -107.01405  33.152  59771.78
 138     -107.014053     33.154  61130.88
 139     -107.014057     33.156  62539.67
 140     -107.01406  33.157  63995.51
