#Conversion from English to SI Unit
    units SI 
    begin 
    velocity    54.864 
    time    10.0 
 #Number of Pieces	Weight of each piece (kgs)	Total Weight (kgs)	Reference Area (m^2)	Ballistic Coeff (kg/m^2)	Velocity Increment (m/sec)	CD	CL
    1.0    8993.38219176    8993.38219176    2.9097232128    [7811.87784598,16600.2404227]    [0.0,12.4968]    A1    NONE 
    1.0    9888.3056    9888.3056    22.01802048    [375.946621338,2587.68453648]    149.352    A2    NONE 
    3.0    58.059776    174.63292    0.176515776    [468.712670759,1660.02404227]    [0.0,6.096]    A3    NONE 
    12.0    2757.83936    33112.216    23.22576    [48.8242365374,83.0012021135]    115.824    A4    NONE 
    1260.0    0.14968536    188.694272    0.0009290304    [117.17816769,537.066601911]    [115.824,457.2]    A5    NONE 
    6.0    10.886208    65.317248    0.102193344    [87.8836257673,131.825438651]    548.64    A6    NONE 
    [14.0,28.0]    [0.226796,0.453592]    65.317248    0.0622450368    [4.39418128836,12.6943014997]    [45.72,762.0]    A7    NONE 
 
    begin 
    velocity    91.44 
    time    20.0 
 #Number of Pieces	Weight of each piece (kgs)	Total Weight (kgs)	Reference Area (m^2)	Ballistic Coeff (kg/m^2)	Velocity Increment (m/sec)	CD	CL
    1.0    129727.312    9059.15303176    10.77675264    [6835.39311523,14647.2709612]    [0.0,11.5824]    A1    NONE 
    1.0    9888.3056    9888.3056    22.01802048    [375.946621338,2587.68453648]    146.304    A2    NONE 
    3.0    58.059776    174.179328    0.176515776    [468.712670759,1660.02404227]    [0.0,6.096]    A3    NONE 
    12.0    2757.83936    33112.216    23.22576    [48.8242365374,83.0012021135]    124.968    A4    NONE 
    1260.0    0.14968536    188.694272    0.0009290304    [117.17816769,537.066601911]    [124.968,457.2]    A5    NONE 
    6.0    9888.3056    65.317248    0.102193344    [87.8836257673,131.825438651]    548.64    A6    NONE 
    end 
 
    begin 
    velocity    216.408 
    time    20.0 
 #Number of Pieces	Weight of each piece (kgs)	Total Weight (kgs)	Reference Area (m^2)	Ballistic Coeff (kg/m^2)	Velocity Increment (m/sec)	CD	CL
    1.0    129727.312    129727.312    10.77675264    [6835.39311523,14647.2709612]    [0.0,11.5824]    A1    NONE 
    1.0    9888.3056    9888.3056    22.01802048    [375.946621338,2587.68453648]    146.304    A2    NONE 
    3.0    58.059776    174.63292    0.176515776    [468.712670759,1660.02404227]    [0.0,6.096]    A3    NONE 
    12.0    2757.83936    33112.216    23.22576    [48.8242365374,83.0012021135]    124.968    A4    NONE 
    1260.0    0.14968536    188.694272    0.0009290304    [117.17816769,537.066601911]    [124.968,457.2]    A5    NONE 
    6.0    10.886208    65.317248    0.102193344    [87.8836257673,131.825438651]    548.64    A6    NONE 
    [14.0,28.0]    [0.226796,0.453592]    6.350288    0.0622450368    [4.39418128836,12.6943014997]    [45.72,762.0]    A7    NONE 
    [48.0,60.0]    [0.7257472,5.443104]    90.7184    [0.102193344,0.771095232]    [5.85890838448,8.78836257673]    [45.72,762.0]    A6    NONE 
    [150.0,600.0]    [0.002721552,0.0226796]    2.721552    [0.0009290304,0.0074322432]    [2.44121182687,3.90593892299]    701.04    1    NONE 
