FORMAT LATLON METERS
#Time LonDeg              LatDeg              AltM                
0.0   -75.4882            37.8338             76.2000000011       
1.0   -75.4881999991      37.833799936        77.6867715567       
2.0   -75.4881999934      37.8337997441       82.1869083457       
3.0   -75.4881999776      37.8337994243       89.7605341412       
4.0   -75.488199947       37.8337989765       100.468261758       
5.0   -75.4881998963      37.8337984008       114.371161829       
6.0   -75.4881998209      37.8337976972       131.530720782       
7.0   -75.4881997155      37.8337968658       152.008759418       
8.0   -75.4881995751      37.8337959066       175.867434979       
9.0   -75.4881993952      37.8337948195       203.169158565       
10.0  -75.4881991702      37.8337936048       233.9764579         
11.0  -75.4881988956      37.8337922626       268.352160523       
12.0  -75.4881985661      37.8337907928       306.358680885       
13.0  -75.4881981768      37.8337891957       348.058782225       
14.0  -75.4881977229      37.8337874715       393.514931901       
15.0  -75.4881971991      37.8337856203       442.789339708       
16.0  -75.4881966009      37.8337836424       495.943852264       
17.0  -75.4881959227      37.8337815381       553.039848166       
18.0  -75.4881951602      37.8337793078       614.138082121       
19.0  -75.4881943078      37.8337769517       679.298614263       
20.0  -75.4881933609      37.8337744704       748.576820389       
21.0  -75.4881923147      37.8337718642       822.039894474       
22.0  -75.4881911638      37.8337691334       899.746685506       
23.0  -75.4881899038      37.833766279        981.745499803       
24.0  -75.4881885293      37.8337633013       1068.09864538       
25.0  -75.4881870354      37.833760201        1158.86106681       
26.0  -75.4881854177      37.8337569786       1254.09105764       
27.0  -75.4881836707      37.8337536351       1353.83966887       
28.0  -75.4881817899      37.8337501712       1458.15818971       
29.0  -75.4881797701      37.8337465877       1567.09798313       
30.0  -75.4881776068      37.8337428856       1680.70808633       
31.0  -75.4881752947      37.8337390659       1799.03563188       
32.0  -75.4881728293      37.8337351297       1922.12716648       
33.0  -75.488170206       37.8337310782       2050.01860815       
34.0  -75.4881674194      37.8337269122       2182.76803829       
35.0  -75.4881644651      37.8337226332       2320.40999333       
36.0  -75.4881613377      37.8337182418       2463.00170595       
37.0  -75.4881580329      37.8337137402       2610.55297828       
38.0  -75.488154546       37.8337091293       2763.12216479       
39.0  -75.4881508714      37.8337044101       2920.75306615       
40.0  -75.4881470049      37.8336995842       3083.47967671       
41.0  -75.4881429411      37.8336946529       3251.3372626        
42.0  -75.4881386755      37.8336896176       3424.36678245       
43.0  -75.4881342027      37.8336844798       3602.60087886       
44.0  -75.4881295182      37.8336792409       3786.0732433        
45.0  -75.4881246171      37.8336739025       3974.81692397       
46.0  -75.4881194946      37.8336684664       4168.84955715       
47.0  -75.4881141452      37.8336629335       4368.23309253       
48.0  -75.4881085637      37.8336573057       4572.98738818       
49.0  -75.4881027453      37.8336515842       4783.15095146       
50.0  -75.4880966864      37.8336457704       4998.76260939       
51.0  -75.4880830063      37.8336451018       5219.77353134       
52.0  -75.4880354045      37.8336676042       5445.72843561       
53.0  -75.4879380034      37.8337245638       5676.16172762       
54.0  -75.4877895321      37.8338169768       5911.09439098       
55.0  -75.487591896       37.8339435859       6150.65117201       
56.0  -75.4873448082      37.8341046473       6394.8734887        
57.0  -75.4870464304      37.8343014865       6643.71466077       
58.0  -75.4866948311      37.8345354925       6897.13244562       
59.0  -75.4862886821      37.8348076435       7155.11786212       
60.0  -75.4858279401      37.8351180428       7417.72024223       
61.0  -75.4853127386      37.8354666741       7684.99667819       
62.0  -75.484743213       37.8358535194       7957.00742248       
63.0  -75.4841192603      37.8362787244       8233.79990712       
64.0  -75.4834398907      37.8367430425       8515.37473091       
65.0  -75.4827038503      37.8372474066       8801.72069472       
66.0  -75.48190987        37.8377927611       9092.83024351       
67.0  -75.4810566579      37.8383800643       9388.69642721       
68.0  -75.480143007       37.839010223        9689.31708866       
69.0  -75.4791679004      37.8396840299       9994.70038928       
70.0  -75.4781303979      37.8404022312       10304.8604505       
71.0  -75.4770295608      37.8411655736       10619.8093126       
72.0  -75.4758644211      37.8419748229       10939.5642023       
73.0  -75.4746339942      37.8428307579       11264.1465963       
74.0  -75.4733371597      37.8437342485       11593.5687717       
75.0  -75.4719725802      37.8446863129       11927.834116        
76.0  -75.4705388241      37.8456880342       12266.9470662       
77.0  -75.4690344516      37.8467405004       12610.9112626       
78.0  -75.4674579654      37.8478448408       12959.739656        
79.0  -75.4658078483      37.8490021944       13313.4499091       
80.0  -75.4640824828      37.8502137863       13672.0522061       
81.0  -75.4622801317      37.8514809355       14035.5581914       
82.0  -75.4603990186      37.8528049921       14403.9768717       
83.0  -75.458437239       37.8541874123       14777.3129846       
84.0  -75.4563927928      37.8556297115       15155.5916583       
85.0  -75.4542636889      37.8571334005       15538.8315305       
86.0  -75.4520477605      37.8587001182       15927.0635247       
87.0  -75.449743074       37.8603313172       16320.3342929       
88.0  -75.4473475196      37.8620285815       16718.6965261       
89.0  -75.4448592007      37.8637933214       17122.2243439       
90.0  -75.4422762555      37.8656269179       17530.9953383       
91.0  -75.439596619       37.8675309058       17945.0843011       
92.0  -75.4368181593      37.8695068638       18364.5827473       
93.0  -75.4339388238      37.8715563142       18789.5608835       
94.0  -75.4309563494      37.8736809324       19220.1072801       
95.0  -75.4278682947      37.8758825542       19656.2642595       
96.0  -75.4246719673      37.8781632207       20098.0479006       
97.0  -75.421364619       37.8805250179       20545.4667907       
98.0  -75.417943422       37.8829700873       20998.5326926       
99.0  -75.4144054839      37.885500618        21457.2574295       
100.0 -75.4107478971      37.8881188099       21921.6462684       
101.0 -75.406967561       37.8908270037       22391.709014        
