units SI
begin
velocity  666.0
time   10.0
#numPieces     weightIndividual         weightTotal    aref                     beta                     impulseVel          CD        CL        
1             7047                     7047.0         134.1                    406                      107                 1         0.1       
9             131.8                    1186.2         6.87                     41.7                     52                  1         0.1       
91            [1.2, 213.6]             9773.4         [0.4, 5.0]               [6.7, 89.7]              [48.4, 300]         1         0.1       
8             [10, 175]                740.0          [2.4, 61.2]              [11.4, 15.1]             [107, 624]          1         0.1       
175           [0.5, 32.5]              2887.5         [0.12, 7.7]              [10.9, 16.2]             [58.9, 194.5]       1         0.1       
4             38                       152.0          13.1                     7.6                      244.6               1         0.1       
1406          [0.02, 110.2]            77484.66       [0.01, 31.4]             [7.1, 14.3]              [1384, 29.6]        1         0.1       
8             70.3                     562.4          3.1                      52                       15.3                1         0.1       
977           [0.3, 40]                19686.55       [0.16, 21.1]             [5.1, 7.4]               [116.9, 770.5]      1         0.1       
1             840                      840.0          9                        75.9                     20.5                1         0.1       
2             30                       60.0           0.48                     74                       18                  1         0.1       
1             653.7                    653.7          8                        181.6                    61.2                1         0.1       
126           [0.5, 50.0]              3181.5         [0.28, 27.6]             [7.1, 7.4]               [145.2, 365.4]      1         0.1       
13            [16, 417.1]              2815.15        [0.5, 4.3]               [30.2, 89.7]             [14.3, 318.6]       1         0.1       
12            [12.0, 17.2]             175.2          [3.7, 5.2]               [13.0, 13.2]             [347.8, 723.2]      1         0.1       
526           [0.02, 110.2]            28987.86       [0.01, 31.6]             [6.9, 14.2]              [176, 868]          1         0.1       
1             1124.4                   1124.4         48                       52.1                     73.7                1         0.1       
2             22.5                     45.0           3.46                     15.1                     106.1               1         0.1       
16            [9.3, 36.3]              364.8          [0.18, 0.48]             [32.2, 89.4]             [54.3, 72.6]        1         0.1       
4             70.3                     281.2          3.1                      52                       141.5               1         0.1       
1             200                      200.0          12.3                     19.2                     173.1               1         0.1       
1081          [0.4, 94.1]              51077.25       [0.19, 52.0]             [6.4, 56.7]              [13.2, 330.8]       1         0.1       
1             17746                    17746.0        315                      125.2                    27.5                1         0.1       
end
