#GROUP1,,,,,,,,,,,,
#Beta,0.0-0.5,0.5-1,1-1.78,1.78-3.33,3.33-5.6,5.6-10,10-17.78,17.78-30,30-56.23,56.23-100,100-177,177-333
#Group,1,2,3,4,5,6,7,8,9,10,11,12
30,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,50,36,0,0,0,0,0,0,0,0
20,0,125,500,357,100,25,0,20,0,0,0,0
19,125,625,1500,1071,500,125,250,0,0,0,0,0
18,375,1000,2250,1607,800,200,750,200,0,0,0,0
17,500,1250,3500,2500,1000,250,1000,600,20,0,0,0
16,375,1000,1100,786,800,200,750,1000,20,0,0,0
15,250,2375,1300,929,1900,475,500,50,20,0,0,0
14,250,1250,1800,1286,1000,250,500,500,20,0,0,0
13,50,1250,1800,1286,1000,250,100,400,20,0,0,0
12,200,1250,1300,929,1000,250,400,50,20,0,0,0
11,250,1250,1300,929,1000,250,500,400,20,0,0,0
10,250,1250,750,536,1000,250,500,400,20,0,0,0
9,250,1250,500,357,1000,250,500,50,20,0,0,0
8,250,625,400,286,500,125,500,400,20,0,0,0
7,250,313,300,214,250,63,500,400,20,0,0,0
6,25,125,200,143,100,25,50,50,20,0,0,0
5,150,0,100,71,0,0,300,300,20,0,0,0
4,100,0,0,0,0,0,200,400,20,0,0,0
3,50,0,0,0,0,0,100,300,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,100,0,0,0,0
#END,,,,,,,,,,,,
SUM,3700,14938,18650,13323,11950,2988,7400,5620,280,0,0,0
U_nique or D_erived?,D,D,U,D,U,D,U,U,U,U,U,U
,,,,,,,,,,,,
TIME IS FUCKING IN REVERSE!!!,,,,,,,,,,,,
,,,,,,,,,,,,
Total Pieces,,,,,,,,,,,,
78849,,,,,,,,,,,,
