units SI
begin
velocity  666.0
time   100.0
#numPieces     weightIndividual         weightTotal    aref                     beta                     impulseVel          CD        CL        
2              0.001063                 0.0021268      [0.0006705,0.03361]      [0.05274,  2.643]        [    0.0,  100.0]          0.6       0.0
1              0.001251                 0.0012514      [0.0007274,0.03646]      [0.05721,  2.867]        [    0.0,  100.0]          0.6       0.0
4              0.001473                 0.0058907      [0.0007891,0.03955]      [0.06206,   3.11]        [    0.0,  100.0]          0.6       0.0
5              0.001733                 0.0086653      [0.000856, 0.0429]       [0.06733,  3.374]        [    0.0,  100.0]          0.6       0.0
2              0.002039                 0.0040789      [0.0009286,0.04654]      [0.07304,   3.66]        [    0.0,  100.0]          0.6       0.0
4              0.0024                   0.0096003      [0.001007,0.05049]       [0.07923,  3.971]        [    0.0,  100.0]          0.6       0.0
7              0.002824                 0.019771       [0.001093,0.05477]       [0.08595,  4.308]        [    0.0,  100.0]          0.6       0.0
8              0.003324                 0.026591       [0.001185,0.05941]       [0.09324,  4.673]        [    0.0,  100.0]          0.6       0.0
3              0.003912                 0.011735       [0.001286,0.06445]       [ 0.1011,  5.069]        [    0.0,  100.0]          0.6       0.0
10             0.004603                 0.046031       [0.001395,0.06992]       [ 0.1097,  5.499]        [    0.0,  100.0]          0.6       0.0
7              0.005417                 0.037919       [0.001513,0.07585]       [  0.119,  5.966]        [    0.0,  100.0]          0.6       0.0
17             0.006375                 0.10837        [0.001642,0.08228]       [ 0.1291,  6.472]        [    0.0,  100.0]          0.6       0.0
13             0.007502                 0.097525       [0.001781,0.08926]       [ 0.1401,   7.02]        [    0.0,  100.0]          0.6       0.0
28             0.008828                  0.2472        [0.001932,0.09683]       [  0.152,  7.616]        [    0.0,  100.0]          0.6       0.0
24             0.01039                  0.24934        [0.002096,  0.105]       [ 0.1648,  8.262]        [    0.0,  100.0]          0.6       0.0
46             0.01223                  0.56241        [0.002274,  0.114]       [ 0.1788,  8.962]        [    0.0,  100.0]          0.6       0.0
41             0.01439                  0.58991        [0.002466, 0.1236]       [  0.194,  9.722]        [    0.0,  100.0]          0.6       0.0
48             0.01693                  0.81274        [0.002676, 0.1341]       [ 0.2104,  10.55]        [    0.0,  100.0]          0.6       0.0
54             0.01993                    1.076        [0.002903, 0.1455]       [ 0.2283,  11.44]        [    0.0,  100.0]          0.6       0.0
73             0.02345                   1.7118        [0.003149, 0.1578]       [ 0.2476,  12.41]        [    0.0,  100.0]          0.6       0.0
70             0.0276                    1.9317        [0.003416, 0.1712]       [ 0.2687,  13.46]        [    0.0,  100.0]          0.6       0.0
118            0.03247                    3.832        [0.003705, 0.1857]       [ 0.2914,  14.61]        [    0.0,  100.0]          0.6       0.0
119            0.03822                   4.5477        [0.00402, 0.2015]        [ 0.3162,  15.85]        [    0.0,  100.0]          0.6       0.0
118            0.04497                   5.3068        [0.004361, 0.2186]       [  0.343,  17.19]        [    0.0,  100.0]          0.6       0.0
127            0.05292                   6.7215        [0.00473, 0.2371]        [ 0.3721,  18.65]        [    0.0,  100.0]          0.6       0.0
171            0.06228                    10.65        [0.005132, 0.2572]       [ 0.4036,  20.23]        [    0.0,  100.0]          0.6       0.0
223            0.07329                   16.345        [0.005567,  0.279]       [ 0.4378,  21.94]        [    0.0,  100.0]          0.6       0.0
223            0.08625                   19.235        [0.006039, 0.3027]       [  0.475,   23.8]        [    0.0,  100.0]          0.6       0.0
247            0.1015                    25.072        [0.006551, 0.3283]       [ 0.5152,  25.82]        [    0.0,  100.0]          0.6       0.0
245            0.1195                    29.266        [0.007107, 0.3562]       [ 0.5589,  28.01]        [    0.0,  100.0]          0.6       0.0
300            0.1406                    42.172        [0.007709, 0.3864]       [ 0.6064,  30.39]        [    0.0,  100.0]          0.6       0.0
276            0.1654                    45.658        [0.008363, 0.4192]       [ 0.6578,  32.97]        [    0.0,  100.0]          0.6       0.0
327            0.1947                     63.66        [0.009073, 0.4547]       [ 0.7136,  35.76]        [    0.0,  100.0]          0.6       0.0
371            0.2291                    84.996        [0.009842, 0.4933]       [ 0.7741,   38.8]        [    0.0,  100.0]          0.6       0.0
375            0.2696                     101.1        [0.01068, 0.5351]        [ 0.8397,  42.09]        [    0.0,  100.0]          0.6       0.0
377            0.3173                    119.61        [0.01158, 0.5805]        [ 0.9109,  45.66]        [    0.0,  100.0]          0.6       0.0
405            0.3734                    151.22        [0.01256, 0.6297]        [ 0.9882,  49.53]        [    0.0,  100.0]          0.6       0.0
394            0.4394                    173.12        [0.01363, 0.6831]        [  1.072,  53.73]        [    0.0,  100.0]          0.6       0.0
454            0.5171                    234.75        [0.01479, 0.7411]        [  1.163,  58.28]        [    0.0,  100.0]          0.6       0.0
453            0.6085                    275.65        [0.01604, 0.8039]        [  1.262,  63.23]        [    0.0,  100.0]          0.6       0.0
491            0.7161                     351.6        [ 0.0174, 0.8721]        [  1.369,  68.59]        [    0.0,  100.0]          0.6       0.0
490            0.8427                    412.93        [0.01888, 0.9461]        [  1.485,  74.41]        [    0.0,  100.0]          0.6       0.0
505            0.9917                    500.82        [0.02048,  1.026]        [  1.611,  80.72]        [    0.0,  100.0]          0.6       0.0
514            1.167                     599.87        [0.02221,  1.113]        [  1.747,  87.56]        [    0.0,  100.0]          0.6       0.0
508            1.373                     697.69        [ 0.0241,  1.208]        [  1.895,  94.99]        [    0.0,  100.0]          0.6       0.0
529            1.616                      855.0        [0.02614,   1.31]        [  2.056,  103.0]        [    0.0,  100.0]          0.6       0.0
487            1.902                     926.28        [0.02836,  1.421]        [   2.23,  111.8]        [    0.0,  100.0]          0.6       0.0
431            2.238                     964.72        [0.03076,  1.542]        [   2.42,  121.3]        [    0.0,  100.0]          0.6       0.0
458            2.634                     1206.4        [0.03337,  1.673]        [  2.625,  131.5]        [    0.0,  100.0]          0.6       0.0
431              3.1                     1336.0        [ 0.0362,  1.814]        [  2.847,  142.7]        [    0.0,  100.0]          0.6       0.0
414            3.648                     1510.2        [0.03927,  1.968]        [  3.089,  154.8]        [    0.0,  100.0]          0.6       0.0
392            4.293                     1682.8        [ 0.0426,  2.135]        [  3.351,  167.9]        [    0.0,  100.0]          0.6       0.0
424            5.052                     2142.0        [0.04622,  2.316]        [  3.635,  182.2]        [    0.0,  100.0]          0.6       0.0
390            5.945                     2318.6        [0.05014,  2.513]        [  3.943,  197.6]        [    0.0,  100.0]          0.6       0.0
358            6.996                     2504.7        [0.05439,  2.726]        [  4.278,  214.4]        [    0.0,  100.0]          0.6       0.0
349            8.233                     2873.5        [  0.059,  2.957]        [   4.64,  232.6]        [    0.0,  100.0]          0.6       0.0
332            9.689                     3216.8        [0.06401,  3.208]        [  5.034,  252.3]        [    0.0,  100.0]          0.6       0.0
307             11.4                     3500.5        [0.06943,   3.48]        [  5.461,  273.7]        [    0.0,  100.0]          0.6       0.0
237            13.42                     3180.2        [0.07532,  3.775]        [  5.924,  296.9]        [    0.0,  100.0]          0.6       0.0
226            15.79                     3568.7        [0.08171,  4.095]        [  6.427,  322.1]        [    0.0,  100.0]          0.6       0.0
187            18.58                     3475.0        [0.08864,  4.443]        [  6.972,  349.4]        [    0.0,  100.0]          0.6       0.0
158            21.87                     3455.2        [0.09616,  4.819]        [  7.563,  379.0]        [    0.0,  100.0]          0.6       0.0
151            25.74                     3886.0        [ 0.1043,  5.228]        [  8.204,  411.2]        [    0.0,  100.0]          0.6       0.0
164            30.29                     4966.8        [ 0.1132,  5.671]        [    8.9,  446.1]        [    0.0,  100.0]          0.6       0.0
118            35.64                     4205.6        [ 0.1228,  6.152]        [  9.655,  483.9]        [    0.0,  100.0]          0.6       0.0
106            41.94                     4445.9        [ 0.1332,  6.674]        [  10.47,  524.9]        [    0.0,  100.0]          0.6       0.0
84             49.36                     4146.1        [ 0.1445,   7.24]        [  11.36,  569.4]        [    0.0,  100.0]          0.6       0.0
59             58.08                     3427.0        [ 0.1567,  7.854]        [  12.33,  617.7]        [    0.0,  100.0]          0.6       0.0
57             68.36                     3896.2        [   0.17,   8.52]        [  13.37,  670.1]        [    0.0,  100.0]          0.6       0.0
62             80.44                     4987.3        [ 0.1844,  9.243]        [   14.5,  727.0]        [    0.0,  100.0]          0.6       0.0
49             94.66                     4638.5        [ 0.2001,  10.03]        [  15.73,  788.6]        [    0.0,  100.0]          0.6       0.0
36             111.4                     4010.5        [  0.217,  10.88]        [  17.07,  855.5]        [    0.0,  100.0]          0.6       0.0
37             131.1                     4850.7        [ 0.2354,   11.8]        [  18.52,  928.1]        [    0.0,  100.0]          0.6       0.0
25             154.3                     3857.0        [ 0.2554,   12.8]        [  20.09,1.007e+03]      [    0.0,  100.0]          0.6       0.0
25             181.6                     4538.9        [ 0.2771,  13.89]        [  21.79,1.092e+03]      [    0.0,  100.0]          0.6       0.0
15             213.7                     3204.9        [ 0.3006,  15.06]        [  23.64,1.185e+03]      [    0.0,  100.0]          0.6       0.0
15             251.4                     3771.5        [ 0.3261,  16.34]        [  25.64,1.285e+03]      [    0.0,  100.0]          0.6       0.0
10             295.9                     2958.9        [ 0.3537,  17.73]        [  27.82,1.394e+03]      [    0.0,  100.0]          0.6       0.0
7              348.2                     2437.5        [ 0.3837,  19.23]        [  30.18,1.512e+03]      [    0.0,  100.0]          0.6       0.0
end
